"hc_x","hc_y","next_event_type","event_and_next_event_type","event_description","batter_name","pitcher_name","outs","balls","strikes","hit_trajectory","fld_score","bat_score","post_fld_score","post_bat_score","is_hit_into_play","is_hit_into_play_basehit","bat_side","pitch_hand","sport_id","game_pk","at_bat_number","event_inning","top_inning_sw","game_date"
"147.56","160.69","field_out","field_out","Dillon Paulson grounds out, second baseman Michael Stefanic to first baseman Devin Davis.   Starling Heredia scores.    Jeren Kendall to 2nd.  ","Dillon Paulson","Kyle Bradish",1,0,0,"ground_ball",3,0,3,1,1,0,"L","R",13,"576753.00",26,3,"N","2019-08-30"
"154.71","170.22","double_play","double_play","Garrett Hope lines into a double play, first baseman Devin Davis to shortstop Leonardo Rivas.   Miguel Vargas out at 2nd.  ","Garrett Hope","Kyle Bradish",1,1,1,"line_drive",3,0,3,0,1,0,"R","R",13,"576753.00",18,2,"N","2019-08-30"
"91.96","101.11","single","single","Brayan Morales singles on a line drive to left fielder Spencer Griffin.  ","Brayan Morales","Connor Higgins",2,0,2,"line_drive",5,3,5,3,1,1,"R","L",13,"576753.00",76,9,"N","2019-08-30"
"190.46","113.03","single","single","Dillon Paulson singles on a line drive to right fielder Orlando Martinez.  ","Dillon Paulson","Kyle Bradish",2,1,1,"line_drive",0,0,0,0,1,1,"L","R",13,"576753.00",6,1,"N","2019-08-30"
"68.92","113.03","field_out","field_out","Jeren Kendall flies out to left fielder Spencer Griffin.  ","Jeren Kendall","Kyle Bradish",1,0,0,"fly_ball",0,0,0,0,1,0,"L","R",13,"576753.00",5,1,"N","2019-08-30"
"76.07","98.73","field_out","field_out","Deacon Liput flies out to left fielder Spencer Griffin.  ","Deacon Liput","Connor Higgins",2,0,0,"fly_ball",5,2,5,2,1,0,"L","L",13,"576753.00",67,8,"N","2019-08-30"
"149.95","168.63","field_out","field_out","Deacon Liput grounds out, first baseman Devin Davis to pitcher Nathan Bates.  ","Deacon Liput","Nathan Bates",0,2,1,"ground_ball",4,2,4,2,1,0,"L","R",13,"576753.00",50,6,"N","2019-08-30"
,,,"strikeout","Jeren Kendall called out on strikes.  ","Jeren Kendall","Kyle Bradish",0,1,2,,4,1,4,1,0,0,"L","R",13,"576753.00",43,5,"N","2019-08-30"
"132.47","168.63","force_out","force_out","Brayan Morales pops into a force out, pitcher Nathan Bates to shortstop Leonardo Rivas.   Starling Heredia out at 2nd.    Brayan Morales to 1st.  ","Brayan Morales","Nathan Bates",0,1,2,"popup",5,2,5,2,1,0,"R","R",13,"576753.00",59,7,"N","2019-08-30"
,,,"strikeout","Marcus Chiu called out on strikes.  ","Marcus Chiu","Kyle Bradish",0,0,2,,3,0,3,0,0,0,"R","R",13,"576753.00",17,2,"N","2019-08-30"
,,,"strikeout","Miguel Vargas strikes out swinging.  ","Miguel Vargas","Kyle Bradish",2,2,2,,4,2,4,2,0,0,"R","R",13,"576753.00",46,5,"N","2019-08-30"
,,,"strikeout","Miguel Vargas called out on strikes.  ","Miguel Vargas","Kyle Bradish",0,0,2,,4,1,4,1,0,0,"R","R",13,"576753.00",33,4,"N","2019-08-30"
,,,"strikeout","Marcus Chiu strikes out swinging.  ","Marcus Chiu","Nathan Bates",1,2,2,,4,2,4,2,0,0,"R","R",13,"576753.00",51,6,"N","2019-08-30"
,,,"strikeout","Dillon Paulson called out on strikes.  ","Dillon Paulson","Kyle Bradish",1,1,2,,4,1,4,1,0,0,"L","R",13,"576753.00",44,5,"N","2019-08-30"
,,,"strikeout","Jeren Kendall strikes out swinging.  ","Jeren Kendall","Nathan Bates",1,3,2,,5,2,5,2,0,0,"L","R",13,"576753.00",60,7,"N","2019-08-30"
"195.22","99.52","field_out","field_out","Devin Mann flies out to right fielder Orlando Martinez.  ","Devin Mann","Kyle Bradish",2,0,0,"fly_ball",0,0,0,0,1,0,"R","R",13,"576753.00",7,1,"N","2019-08-30"
"93.55","117.00","field_out","field_out","Marcus Chiu flies out to left fielder Spencer Griffin.  ","Marcus Chiu","Connor Higgins",0,0,0,"fly_ball",5,2,5,2,1,0,"R","L",13,"576753.00",73,9,"N","2019-08-30"
